WheelBase,0.270000000
Width,0.210000000
Height,0.090000000
DynamicFrictionCoef,0.247000000
StaticSideFrictionCoef,1.560000000
SlipCoefficient,0.000000000
ControlDelay,0.000000000
Mass,01.00
WheelRadius,0.0250000000
WheelWidth,0.03000000
TractionFriction,1000.000000000
SuspConnectionHeight,-0.05000000
Stiffness,140.000000000
MaxSuspForce,5812.356330000
MaxSuspTravel,0.0450000000
SuspRestLength,0.04500000
CompDamping,5.000000000
ExpDamping,0.000000000
RollInfluence,1.000000000
SteeringCoef,-1.50000000
MaxSteering,.700000000
MaxSteeringRate,13.000000000
AccelOffset,0.000000
SteeringOffset,0.0000
StallTorqueCoef,0.13000000
TorqueSpeedSlope,1.268540000
Magic_B,5.000000000
Magic_C,1.650000000
Magic_E,-5.000000000
